,id,institution,rank,city,state,state_full,website,institution_level,institution_control,degree_graning_status,undergraduate_offering,graduate_offering,urbanization_degree,distance_education_offered,distance_education_programs_offered,undergraduate_application_fee,graduate_application_fee,graduation_rate,recommendations,admission_test_scores,TOEFL,total_applicants,total_admissions,acceptance_rate,total_enrolled,yield,SAT_reading_writing_lower,SAT_reading_writing_upper,SAT_math_lower,SAT_math_upper,ACT_composite_lower,ACT_composite_upper,ACT_english_lower,ACT_english_upper,ACT_math_lower,ACT_math_upper,out_of_state_tuition,out_of_state_fees,in_state_tuition,in_state_fees,out_of_state_total,in_state_total,address,city_id,location,lat,lon
0,1,Abilene Christian University,150+,Abilene,TX,Texas,www.acu.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Midsize,Yes,1,50,65.0,53.0,Not Required,Considered,Required,10534,6679,63.4,859,12.86,510.0,620.0,500.0,600.0,21.0,27.0,20.0,28.0,18.0,26.0,37750.0,50.0,37750.0,50.0,37800,37800," , Abilene, Texas 79699",9975,"(32.483321000000004, -99.71547603665134)",32.483321000000004, -99.71547603665134
1,2,Adams State University,150+,Alamosa,CO,Colorado,www.adams.edu/,Four or more years,Public,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Town: Remote,Yes,1,30,30.0,16.0,Not Required,Required,Recommended,1690,1688,99.88,348,20.62,450.0,550.0,440.0,540.0,17.0,22.0,15.0,22.0,17.0,21.0,17592.0,3704.0,5856.0,3704.0,21296,9560,"208 Edgemont Blvd, Alamosa, Colorado 81101",38983,"(37.47225363420295, -105.88065949810635)",37.47225363420295, -105.88065949810635
2,3,Adelphi University,150+,Garden City,NY,New York,www.adelphi.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Suburb: Large,Yes,1,50,50.0,60.0,Required,Required,Required,15329,11437,74.61,996,8.71,530.0,620.0,530.0,630.0,21.0,27.0,21.0,27.0,20.0,27.0,39820.0,1615.0,39820.0,1615.0,41435,41435,"South Ave, Garden City, New York 11530-0701",34660,"(40.7227794, -73.6526534)",40.7227794, -73.6526534
3,4,Adrian College,150+,Adrian,MI,Michigan,www.adrian.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Town: Distant,Yes,1,0,0.0,30.0,Not Required,Required,Considered,4439,2717,61.21,538,19.8,460.0,570.0,467.0,550.0,19.0,25.0,17.0,24.0,18.0,26.0,37755.0,975.0,37755.0,975.0,38730,38730,"110 S Madison St, Adrian, Michigan 49221-2575",10778,"(41.89849465, -84.06083239910039)",41.89849465, -84.06083239910039
4,5,AdventHealth University,150+,Orlando,FL,Florida,www.ahu.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Large,Yes,1,20,100.0,14.0,Not Required,Required,Required,263,239,90.87,99,41.42,520.0,600.0,490.0,540.0,21.0,24.0,23.0,24.0,20.0,23.0,18900.0,900.0,18900.0,900.0,19800,19800,"671 Winyah Drive, Orlando, Florida 32803",3462,"(28.5766915, -81.3691308)",28.5766915, -81.3691308
5,6,Alabama State University,150+,Montgomery,AL,Alabama,www.alasu.edu/,Four or more years,Public,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Midsize,Yes,1,25,25.0,10.0,Not Required,Required,Required,7027,6948,98.88,975,14.03,438.0,531.0,406.0,518.0,14.0,20.0,14.0,20.0,14.0,20.0,16656.0,2740.0,8328.0,2740.0,19396,11068,"915 S Jackson Street, Montgomery, Alabama 36104-0271",3453,"(32.36334985, -86.29355107996977)",32.36334985, -86.29355107996977
6,7,Albany College of Pharmacy and Health Sciences,150+,Albany,NY,New York,www.acphs.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Small,Yes,0,75,95.0,56.0,Required,Required,Required,1693,1273,75.19,117,9.19,550.0,640.0,580.0,660.0,25.0,31.0,,,,,36120.0,625.0,36120.0,625.0,36745,36745,"106 New Scotland Avenue, Albany, New York 12208-3492",7700,"(42.65202585, -73.77861219145161)",42.65202585, -73.77861219145161
7,8,Albany State University,150+,Albany,GA,Georgia,www.asurams.edu/,Four or more years,Public,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Small,Yes,1,25,25.0,8.0,Not Required,Considered,Required,7655,5590,73.02,1443,25.81,380.0,460.0,360.0,440.0,15.0,18.0,13.0,17.0,15.0,17.0,14786.0,1870.0,4064.0,1870.0,16656,5934,"504 College Drive, Albany, Georgia 31705",9481,"(31.5678798, -84.14057937069398)",31.5678798, -84.14057937069398
8,9,Allegheny College,150+,Meadville,PA,Pennsylvania,allegheny.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,No graduate offering,Town: Distant,Yes,0,0,,66.0,Required,Considered,Required,4380,3204,73.15,400,12.48,580.0,680.0,560.0,670.0,24.0,30.0,22.0,31.0,22.0,27.0,50480.0,500.0,50480.0,500.0,50980,50980,"520 N Main St, Meadville, Pennsylvania 16335-3902",12654,"(41.647273080070164, -80.14633702925218)",41.647273080070164, -80.14633702925218
9,10,American College of the Building Arts,150+,Charleston,SC,South Carolina,acba.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,No graduate offering,City: Midsize,Implied no,0,50,,,Required,Required,Not Required,17,11,64.71,11,100.0,528.0,593.0,468.0,633.0,19.0,29.0,19.0,29.0,18.0,28.0,19872.0,700.0,19872.0,700.0,20572,20572,"649 Meeting Street, Charleston, South Carolina 29403-4223",8539,"(32.805159, -79.946274)",32.805159, -79.946274
10,11,American International College,150+,Springfield,MA,Massachusetts,www.aic.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Midsize,Yes,1,0,50.0,7.0,Recommended,Considered,Required,1956,1357,69.38,342,25.2,440.0,550.0,450.0,550.0,22.0,29.0,,,,,38220.0,0.0,38220.0,0.0,38220,38220,"1000 State Street, Springfield, Massachusetts 01109",8343,"(42.113816, -72.55788180066077)",42.113816, -72.55788180066077
11,12,American University,79,Washington,DC,District of Columbia,www.american.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Large,Yes,1,75,65.0,76.0,Required,Considered,Required,20036,7744,38.65,1607,20.75,630.0,710.0,590.0,680.0,27.0,32.0,28.0,34.0,24.0,29.0,50542.0,819.0,50542.0,819.0,51361,51361,"4400 Massachusetts Ave NW, Washington, District of Columbia 20016-8001",3497,"(38.93804505, -77.08939223651926)",38.93804505, -77.08939223651926
12,13,Amherst College,150+,Amherst,MA,Massachusetts,www.amherst.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,No graduate offering,Suburb: Large,Implied no,0,60,,85.0,Required,Considered,Required,10603,1254,11.83,434,34.61,710.0,770.0,720.0,790.0,32.0,35.0,33.0,36.0,29.0,34.0,59890.0,1000.0,59890.0,1000.0,60890,60890,"Boltwood Avenue, Amherst, Massachusetts 01002-5000",13860,"(42.3755788, -72.5189941)",42.3755788, -72.5189941
13,14,Anderson University,150+,Anderson,IN,Indiana,anderson.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Small,Yes,1,0,0.0,50.0,Considered,Considered,Required,3905,2597,66.5,327,12.59,470.0,580.0,480.0,580.0,18.0,25.0,18.0,24.0,18.0,25.0,31470.0,630.0,31470.0,630.0,32100,32100,"1100 E 5th St, Anderson, Indiana 46012-3495",13050,"(40.11455395, -85.6607189805517)",40.11455395, -85.6607189805517
14,15,Angelo State University,150+,San Angelo,TX,Texas,www.angelo.edu/,Four or more years,Public,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Midsize,Yes,1,40,40.0,21.0,Not Required,Considered,Required,3750,2931,78.16,1277,43.57,460.0,570.0,460.0,550.0,17.0,23.0,15.0,23.0,16.0,23.0,14228.0,3495.0,4412.0,3495.0,17723,7907,"2601 W. Avenue N, San Angelo, Texas 76909",8010,"(31.437838149999997, -100.45450730120643)",31.437838149999997, -100.45450730120643
15,16,Antioch College,150+,Yellow Springs,OH,Ohio,antiochcollege.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,No graduate offering,Town: Fringe,Yes,0,0,,53.0,Required,Considered,Required,188,159,84.57,44,27.67,575.0,605.0,620.0,680.0,22.0,23.0,21.0,28.0,17.0,27.0,35949.0,1194.0,35949.0,1194.0,37143,37143,"1 Morgan Pl, Yellow Springs, Ohio 45387",35236,"(39.7979103, -83.88804518580241)",39.7979103, -83.88804518580241
16,17,Appalachian State University,150+,Boone,NC,North Carolina,www.appstate.edu/,Four or more years,Public,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Town: Distant,Yes,1,65,65.0,52.0,Not Required,Required,Required,18178,14453,79.51,3906,27.03,540.0,630.0,530.0,610.0,22.0,27.0,20.0,27.0,20.0,26.0,19049.0,3168.0,4242.0,3168.0,22217,7410,"287 Rivers St, Boone, North Carolina 28608",13727,"(36.2162394, -81.6814964)",36.2162394, -81.6814964
17,18,Aquinas College,150+,Grand Rapids,MI,Michigan,www.aquinas.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Midsize,Yes,0,0,0.0,36.0,Required,Considered,Required,1853,1314,70.91,280,21.31,500.0,620.0,510.0,600.0,20.0,26.0,18.0,23.0,18.0,26.0,34386.0,700.0,34386.0,700.0,35086,35086,"1700 Fulton St. E, Grand Rapids, Michigan 49506-1801",3423,"(-32.0272274, 115.86251382056736)",-32.0272274, 115.86251382056736
18,19,Arizona Christian University,150+,Glendale,AZ,Arizona,arizonachristian.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,No graduate offering,Suburb: Large,Yes,1,0,,45.0,Considered,Required,Required,778,556,71.47,282,50.72,476.0,570.0,460.0,550.0,17.0,22.0,15.0,22.0,16.0,23.0,27500.0,1750.0,27500.0,1750.0,29250,29250,"1 W. Firestorm Way, Glendale, Arizona 85306-3216",35589,"(33.6208006, -112.18090584667814)",33.6208006, -112.18090584667814
19,20,Arizona State University Campus Immersion,150+,Tempe,AZ,Arizona,www.asu.edu/,Four or more years,Public,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Midsize,Yes,0,50,70.0,52.0,Not Required,Required,Required,53516,47290,88.37,12677,26.81,550.0,650.0,550.0,670.0,21.0,28.0,20.0,28.0,20.0,27.0,28800.0,628.0,10710.0,628.0,29428,11338,"University Drive and Mill Avenue, Tempe, Arizona 85287",8449,"(33.4225788, -111.939863)",33.4225788, -111.939863
20,21,Arkansas State University,150+,Jonesboro,AR,Arkansas,www.astate.edu/,Four or more years,Public,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Small,Yes,1,30,30.0,31.0,Not Required,Required,Required,5836,3921,67.19,1293,32.98,500.0,590.0,500.0,630.0,20.0,26.0,21.0,27.0,18.0,25.0,10800.0,2083.0,5232.0,2083.0,12883,7315,"2105 E. Aggie Road, Jonesboro, Arkansas 72401",9275,"(35.843356, -90.67439086474857)",35.843356, -90.67439086474857
21,22,Ashland University,150+,Ashland,OH,Ohio,www.ashland.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Town: Fringe,Yes,1,0,30.0,49.0,Recommended,Required,Recommended,3552,2641,74.35,437,16.55,500.0,610.0,500.0,598.0,19.0,24.0,17.0,24.0,18.0,25.0,22000.0,1060.0,22000.0,1060.0,23060,23060,"401 College Avenue, Ashland, Ohio 44805",7554,"(40.8615968, -82.321832011178)",40.8615968, -82.321832011178
22,23,Auburn University,99,Auburn,AL,Alabama,www.auburn.edu/,Four or more years,Public,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Small,Yes,1,50,60.0,50.0,Recommended,Required,Required,17946,15266,85.07,4914,32.19,590.0,650.0,570.0,670.0,25.0,31.0,24.0,33.0,23.0,29.0,30240.0,1716.0,10080.0,1716.0,31956,11796," , Auburn, Alabama 36849",9659,"(32.62777375, -85.49284505134932)",32.62777375, -85.49284505134932
23,24,Auburn University at Montgomery,150+,Montgomery,AL,Alabama,www.aum.edu/,Four or more years,Public,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Midsize,Yes,1,0,25.0,12.0,Not Required,Required,Required,4606,4401,95.55,674,15.31,480.0,575.0,430.0,515.0,18.0,23.0,17.0,24.0,16.0,22.0,17952.0,868.0,7992.0,868.0,18820,8860,"7440 East Drive, Montgomery, Alabama 36117-3596",3453,"(32.366767947300815, -86.17428240003473)",32.366767947300815, -86.17428240003473
24,25,Augsburg University,150+,Minneapolis,MN,Minnesota,www.augsburg.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Large,Yes,0,0,0.0,49.0,Required,Considered,Recommended,2746,2008,73.12,563,28.04,440.0,613.0,465.0,595.0,17.0,23.0,15.0,22.0,16.0,23.0,39295.0,710.0,39295.0,710.0,40005,40005,"2211 Riverside Ave, Minneapolis, Minnesota 55454",3450,"(44.967374938775514, -93.24075973469388)",44.967374938775514, -93.24075973469388
25,26,Augusta University,150+,Augusta,GA,Georgia,www.augusta.edu/,Four or more years,Public,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Midsize,Yes,1,55,55.0,9.0,Not Required,Required,Required,3692,3060,82.88,1028,33.59,520.0,620.0,500.0,590.0,19.0,26.0,19.0,27.0,18.0,25.0,22270.0,2130.0,6892.0,2130.0,24400,9022,"1120 15th St, Augusta, Georgia 30912",9221,"(33.471100050000004, -81.98981674626567)",33.471100050000004, -81.98981674626567
26,27,Augustana University,150+,Sioux Falls,SD,South Dakota,www.augie.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Midsize,Yes,1,0,28.0,53.0,Considered,Considered,Required,2037,1454,71.38,324,22.28,535.0,670.0,520.0,720.0,22.0,28.0,21.0,28.0,22.0,27.0,34934.0,950.0,34934.0,950.0,35884,35884,"2001 S Summit Ave, Sioux Falls, South Dakota 57197-0001",8331,"(43.524097499999996, -96.7387335751497)",43.524097499999996, -96.7387335751497
27,28,Aultman College of Nursing and Health Sciences,150+,Canton,OH,Ohio,www.aultmancollege.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,No graduate offering,City: Small,Yes,1,0,,,Not Required,Required,Not Required,121,75,61.98,36,48.0,,,,,19.0,24.0,17.0,23.0,15.0,22.0,17850.0,1100.0,17850.0,1100.0,18950,18950,"2600 6th St SW, Canton, Ohio 44710-1797",11117,"(40.7966415, -81.40340361211648)",40.7966415, -81.40340361211648
28,29,Aurora University,150+,Aurora,IL,Illinois,aurora.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Suburb: Large,Yes,1,0,0.0,37.0,Considered,Required,Required,2965,2489,83.95,797,32.02,490.0,570.0,490.0,570.0,19.0,23.0,17.0,23.0,17.0,24.0,25600.0,0.0,25600.0,0.0,25600,25600,"347 S Gladstone Ave, Aurora, Illinois 60506-4892",8400,"(41.754829, -88.34950358637296)",41.754829, -88.34950358637296
29,30,Austin College,150+,Sherman,TX,Texas,www.austincollege.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Small,Implied no,0,0,0.0,66.0,Required,Considered,Considered,4288,2113,49.28,340,16.09,560.0,660.0,550.0,650.0,22.0,29.0,22.0,29.0,20.0,26.0,42405.0,185.0,42405.0,185.0,42590,42590,"900 N Grand Ave, Sherman, Texas 75090-4400",13843,"(33.64713745, -96.59793446942271)",33.64713745, -96.59793446942271
30,31,Austin Peay State University,150+,Clarksville,TN,Tennessee,www.apsu.edu/,Four or more years,Public,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Midsize,Yes,1,25,45.0,23.0,Not Required,Required,Required,7346,6696,91.15,1438,21.48,463.0,618.0,455.0,570.0,19.0,24.0,18.0,24.0,16.0,23.0,12264.0,1583.0,6720.0,1583.0,13847,8303,"601 College St, Clarksville, Tennessee 37044",11786,"(36.531061, -87.355897)",36.531061, -87.355897
31,32,Averett University,150+,Danville,VA,Virginia,www.averett.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,No graduate offering,Town: Distant,Yes,0,0,,36.0,Recommended,Required,Required,2652,1840,69.38,270,14.67,440.0,560.0,440.0,530.0,15.0,21.0,,,,,36520.0,150.0,36520.0,150.0,36670,36670,"420 W Main St, Danville, Virginia 24541",33377,"(36.5789301, -79.41452051628477)",36.5789301, -79.41452051628477
32,33,Avila University,150+,Kansas City,MO,Missouri,www.avila.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Large,Yes,1,0,0.0,34.0,Recommended,Considered,Required,1963,824,41.98,151,18.33,,,,,18.0,23.0,17.0,24.0,16.0,23.0,21115.0,0.0,21115.0,0.0,21115,21115,"11901 Wornall Rd, Kansas City, Missouri 64145-1698",3437,"(38.913158499999994, -94.59148623732148)",38.913158499999994, -94.59148623732148
33,34,Bacone College,150+,Muskogee,OK,Oklahoma,www.bacone.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,No graduate offering,Town: Distant,Yes,1,0,,3.0,Recommended,Required,Required,349,165,47.28,74,44.85,423.0,513.0,445.0,495.0,15.0,19.0,14.0,19.0,15.0,17.0,12000.0,2700.0,12000.0,2700.0,14700,14700,"2299 Old Bacone Rd, Muskogee, Oklahoma 74403-1597",12556,"(35.77410699576783, -95.33455129330406)",35.77410699576783, -95.33455129330406
34,35,Baptist Health College Little Rock,150+,Little Rock,AR,Arkansas,www.bhclr.edu/,At least 2 but less than 4 years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,No graduate offering,City: Midsize,Yes,0,0,,,Required,Required,Required,8,4,50.0,3,75.0,,,,,18.0,22.0,15.0,25.0,16.0,18.0,9710.0,2040.0,9710.0,2040.0,11750,11750,"11900 COLONEL GLENN RD, Little Rock, Arkansas 72210-2827",3440,"(34.710626936464365, -92.40978383919852)",34.710626936464365, -92.40978383919852
35,36,Baptist Health Sciences University,150+,Memphis,TN,Tennessee,www.baptistu.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Large,Yes,1,25,,29.0,Not Required,Required,Required,456,316,69.3,70,22.15,470.0,530.0,520.0,560.0,19.0,23.0,19.0,24.0,16.0,20.0,11112.0,1460.0,11112.0,1460.0,12572,12572,"1003 Monroe Ave, Memphis, Tennessee 38104",3446,"(35.138929775510206, -90.0281921632653)",35.138929775510206, -90.0281921632653
36,37,Barnard College,150+,New York,NY,New York,www.barnard.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,No graduate offering,City: Large,Implied no,0,75,,87.0,Required,Required,Required,9411,1280,13.6,690,53.91,680.0,748.0,670.0,770.0,31.0,34.0,33.0,35.0,27.0,32.0,55781.0,1698.0,55781.0,1698.0,57479,57479,"3009 Broadway, New York, New York 10027-6598",3455,"(40.808639368421055, -73.96356384210527)",40.808639368421055, -73.96356384210527
37,38,Bay Path University,150+,Longmeadow,MA,Massachusetts,www.baypath.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Suburb: Large,Yes,1,25,0.0,56.0,Required,Considered,Required,1148,899,78.31,146,16.24,480.0,590.0,460.0,580.0,23.0,31.0,24.0,32.0,22.0,26.0,35781.0,0.0,35781.0,0.0,35781,35781,"588 Longmeadow Street, Longmeadow, Massachusetts 01106",13127,"(42.0546610398786, -72.5820059253897)",42.0546610398786, -72.5820059253897
38,39,Becker College,150+,Worcester,MA,Massachusetts,www.becker.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Midsize,Yes,1,0,0.0,36.0,Considered,Considered,Required,2759,2289,82.96,303,13.24,480.0,600.0,480.0,580.0,20.0,31.0,19.0,30.0,19.0,31.0,36300.0,3850.0,36300.0,3850.0,40150,40150,"61 Sever St, Worcester, Massachusetts 01609-2165",9519,"(42.26922535, -71.81210907447164)",42.26922535, -71.81210907447164
39,40,Beckfield College-Florence,150+,Florence,KY,Kentucky,www.beckfield.edu/,Four or more years,Private for-profit,Degree-granting,Undergraduate degree or certificate offering,No graduate offering,Suburb: Large,Yes,1,0,,0.0,Not Required,Considered,Not Required,230,183,79.57,107,58.47,,,,,18.0,22.0,16.0,21.0,15.0,19.0,12780.0,515.0,12780.0,515.0,13295,13295,"16 Spiral Drive, Florence, Kentucky 41042",13900,"(39.014177717377414, -84.64191801709786)",39.014177717377414, -84.64191801709786
40,41,Belhaven University,150+,Jackson,MS,Mississippi,www.belhaven.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Midsize,Yes,1,25,25.0,34.0,Recommended,Considered,Required,2380,1179,49.54,284,24.09,510.0,595.0,485.0,540.0,19.0,23.0,18.0,25.0,19.0,21.0,26650.0,375.0,26650.0,375.0,27025,27025,"1500 Peachtree St, Jackson, Mississippi 39202",3434,"(32.320139100000006, -90.1690571965284)",32.320139100000006, -90.1690571965284
41,42,Bellarmine University,150+,Louisville,KY,Kentucky,www.bellarmine.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Large,Yes,1,25,40.0,56.0,Required,Considered,Required,4191,3452,82.37,573,16.6,520.0,640.0,500.0,640.0,21.0,28.0,21.0,30.0,20.0,26.0,41520.0,1950.0,41520.0,1950.0,43470,43470,"2001 Newburg Rd, Louisville, Kentucky 40205-0671",3443,"(38.2187504, -85.70584113751073)",38.2187504, -85.70584113751073
42,43,Bellin College,150+,Green Bay,WI,Wisconsin,www.bellincollege.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Rural: Fringe,Yes,1,0,0.0,70.0,Required,Required,Required,70,67,95.71,38,56.72,,,,,21.0,24.0,19.0,24.0,19.0,26.0,21050.0,635.0,21050.0,635.0,21685,21685,"3201 Eaton Road, Green Bay, Wisconsin 54311",9276,"(44.46900025, -87.92160775298771)",44.46900025, -87.92160775298771
43,44,Belmont University,150+,Nashville,TN,Tennessee,www.belmont.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Large,Yes,0,50,50.0,61.0,Recommended,Required,Not Required,8926,7429,83.23,1595,21.47,580.0,660.0,540.0,640.0,23.0,30.0,24.0,33.0,21.0,27.0,35310.0,1720.0,35310.0,1720.0,37030,37030,"1900 Belmont Blvd, Nashville, Tennessee 37212-3757",8029,"(36.136113, -86.795288)",36.136113, -86.795288
44,45,Bemidji State University,150+,Bemidji,MN,Minnesota,www.bemidjistate.edu/,Four or more years,Public,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Town: Remote,Yes,1,20,20.0,30.0,Not Required,Required,Required,3043,2113,69.44,509,24.09,,,,,19.0,24.0,16.0,22.0,18.0,24.0,7976.0,1100.0,7976.0,1100.0,9076,9076,"1500 Birchmont Dr, Bemidji, Minnesota 56601",9739,"(47.4850208, -94.87407843168235)",47.4850208, -94.87407843168235
45,46,Benedictine University,150+,Lisle,IL,Illinois,www.ben.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Suburb: Large,Yes,1,40,40.0,33.0,Considered,Required,Considered,3017,1840,60.99,403,21.9,480.0,570.0,500.0,590.0,19.0,26.0,19.0,26.0,17.0,26.0,32700.0,1590.0,32700.0,1590.0,34290,34290,"5700 College Rd, Lisle, Illinois 60532-0900",12065,"(41.777997600000006, -88.09699355549967)",41.777997600000006, -88.09699355549967
46,47,Bethel University,150+,Saint Paul,MN,Minnesota,www.bethel.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Suburb: Large,Yes,1,0,0.0,68.0,Considered,Required,Considered,1646,1426,86.63,477,33.45,530.0,670.0,510.0,668.0,21.0,28.0,20.0,28.0,20.0,27.0,38870.0,160.0,38870.0,160.0,39030,39030,"3900 Bethel Dr, Saint Paul, Minnesota 55112",3477,"(45.0598639, -93.16397776260094)",45.0598639, -93.16397776260094
47,48,Bethune-Cookman University,150+,Daytona Beach,FL,Florida,www.cookman.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,City: Small,Yes,1,25,50.0,14.0,Considered,Required,Required,5938,5803,97.73,680,11.72,440.0,500.0,400.0,480.0,15.0,19.0,13.0,18.0,15.0,17.0,13844.0,950.0,13844.0,950.0,14794,14794,"640 Dr Mary McLeod Bethune Blvd, Daytona Beach, Florida 32114-3099",10657,"(29.21185355, -81.03198250103571)",29.21185355, -81.03198250103571
48,49,Birmingham-Southern College,150+,Birmingham,AL,Alabama,www.bsc.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,No graduate offering,City: Midsize,Yes,0,50,,63.0,Considered,Considered,Considered,2460,1487,60.45,256,17.22,520.0,610.0,500.0,580.0,22.0,28.0,22.0,30.0,20.0,27.0,17650.0,1250.0,17650.0,1250.0,18900,18900,"900 Arkadelphia Road, Birmingham, Alabama 35254",3398,"(33.515611, -86.850052)",33.515611, -86.850052
49,50,Black Hills State University,150+,Spearfish,SD,South Dakota,www.bhsu.edu/,Four or more years,Public,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Town: Distant,Yes,1,20,35.0,14.0,Not Required,Considered,Not Required,1119,1087,97.14,437,40.2,555.0,615.0,483.0,588.0,18.0,24.0,16.0,23.0,17.0,24.0,10611.0,1131.0,7541.0,1131.0,11742,8672,"1200 University St, Spearfish, South Dakota 57799-9500",39034,"(44.495038, -103.870151)",44.495038, -103.870151
50,51,Bloomfield College,150+,Bloomfield,NJ,New Jersey,www.bloomfield.edu/,Four or more years,Private not-for-profit,Degree-granting,Undergraduate degree or certificate offering,Graduate degree or certificate offering,Suburb: Large,Yes,0,40,40.0,11.0,Required,Considered,Required,4195,3551,84.65,376,10.59,400.0,490.0,390.0,480.0,15.0,19.0,14.0,19.0,15.0,17.0,30680.0,0.0,30680.0,0.0,30680,30680,"467 Franklin St, Bloomfield, New Jersey 07003",33638,"(40.794222187735905, -74.19650361596565)",40.794222187735905, -74.19650361596565
51,52,Bluefield State College,150+,Bluefield,WV,West Virginia,bluefieldstate.edu/,Four or more years,Public,Degree-granting,Undergraduate degree or certificate offering,No graduate offering,Town: Distant,Yes,1,0,,14.0,Not Required,Required,Required,792,713,90.03,215,30.15,430.0,550.0,420.0,520.0,17.0,22.0,15.0,22.0,16.0,21.0,14448.0,96.0,7584.0,96.0,14544,7680,"219 Rock Street, Bluefield, West Virginia 24701-2198",10812,"(37.26666705, -81.23723498507192)",37.26666705, -81.23723498507192
